transaction_date,account_id,transaction_type,amount,category,department,quarter
2024-01-05,A001,Revenue,12500.50,Sales,North,Q1
2024-01-12,A002,Revenue,8750.75,Services,East,Q1
2024-01-18,A003,Expense,4250.25,Marketing,West,Q1
2024-01-25,A004,Expense,2180.40,Operations,South,Q1
2024-02-03,A005,Revenue,15800.00,Sales,North,Q1
2024-02-10,A006,Revenue,9200.50,Services,East,Q1
2024-02-17,A007,Expense,3750.80,Marketing,West,Q1
2024-02-24,A008,Expense,1950.25,Operations,South,Q1
2024-03-04,A009,Revenue,18500.75,Sales,North,Q1
2024-03-11,A010,Revenue,10250.40,Services,East,Q1
2024-03-18,A011,Expense,5100.60,Marketing,West,Q1
2024-03-25,A012,Expense,2350.30,Operations,South,Q1
2024-04-02,A013,Revenue,19750.25,Sales,North,Q2
2024-04-09,A014,Revenue,11300.80,Services,East,Q2
2024-04-16,A015,Expense,4800.45,Marketing,West,Q2
2024-04-23,A016,Expense,2500.75,Operations,South,Q2
2024-05-01,A017,Revenue,21000.50,Sales,North,Q2
2024-05-08,A018,Revenue,12500.60,Services,East,Q2
2024-05-15,A019,Expense,5600.70,Marketing,West,Q2
2024-05-22,A020,Expense,2750.90,Operations,South,Q2
2024-06-05,A021,Revenue,23500.30,Sales,North,Q2
2024-06-12,A022,Revenue,13800.40,Services,East,Q2
2024-06-19,A023,Expense,6100.50,Marketing,West,Q2
2024-06-26,A024,Expense,3000.20,Operations,South,Q2
